
scat WCSTools 3.8.7, 19 October 2012, Jessica Mink SAO
   SAO 00:20:00.000 -80:00:00.00 J2000 r= +05:00:00.0 at epoch 2000.0000
   SAO 00:17:58.010 -80:16:38.95 B1950 r= +05:00:00.0 at epoch 1950.0000
13 SAO Catalog Stars, Mag brighter than 6.00
SAO_number  RA2000       Dec2000       Mag Type  Arcsec
  255670  00:25:45.378 -77:15:15.47   2.90  G0   9936.43
  258941  22:46:03.419 -81:22:53.63   4.30  F0  14430.77
  258207  00:01:35.906 -77:03:56.28   4.70  K0  11056.78
  258989  23:52:06.960 -82:01:07.67   5.10  G5   8245.52
  258215  00:10:02.430 -82:13:26.31   5.30  K0   8123.35
  258946  22:50:23.045 -80:07:26.42   5.50  B5  13840.53
  258217  00:13:19.854 -84:59:37.34   5.70  K5  17992.54
  258179  23:44:40.676 -78:47:30.28   5.70  K0   7277.91
  258996  23:57:32.932 -82:10:11.38   5.70  K0   8406.62
  258154  23:33:19.617 -77:23:06.92   5.80  K0  12462.85
  255663  00:21:28.720 -77:25:36.53   5.90  K0   9267.08
  258271  01:37:55.796 -82:58:29.64   5.90  G0  14772.76
  258166  23:38:24.211 -76:52:11.73   6.00  K0  13495.94
