CenterRa CenterDec StarDensity
4.999995 -85.00000 72
4.999995 -80.00000 42
4.999995 -75.00000 17
4.999995 -70.00000 8
4.999995 -65.00000 14
4.999995 -60.00000 11
4.999995 -55.00000 5
4.999995 -50.00000 9
4.999995 -45.00000 8
4.999995 -40.00000 3
4.999995 -35.00000 2
4.999995 -30.00000 5
4.999995 -25.00000 5
4.999995 -20.00000 4
4.999995 -15.00000 3
4.999995 -10.00000 2
4.999995 -05.00000 5
4.999995 +00.00000 1
4.999995 +05.00000 2
4.999995 +10.00000 4
4.999995 +15.00000 3
4.999995 +20.00000 3
4.999995 +25.00000 3
4.999995 +30.00000 5
4.999995 +35.00000 7
4.999995 +40.00000 7
4.999995 +45.00000 8
4.999995 +50.00000 13
4.999995 +55.00000 15
4.999995 +60.00000 25
4.999995 +65.00000 20
4.999995 +70.00000 13
4.999995 +75.00000 15
4.999995 +80.00000 16
4.999995 +85.00000 65
9.999990 -85.00000 72
9.999990 -80.00000 39
9.999990 -75.00000 17
9.999990 -70.00000 11
9.999990 -65.00000 17
9.999990 -60.00000 11
9.999990 -55.00000 0
9.999990 -50.00000 7
9.999990 -45.00000 8
9.999990 -40.00000 5
9.999990 -35.00000 1
9.999990 -30.00000 2
9.999990 -25.00000 5
9.999990 -20.00000 5
9.999990 -15.00000 2
9.999990 -10.00000 3
9.999990 -05.00000 2
9.999990 +00.00000 2
9.999990 +05.00000 2
9.999990 +10.00000 2
9.999990 +15.00000 2
9.999990 +20.00000 5
9.999990 +25.00000 4
9.999990 +30.00000 5
9.999990 +35.00000 6
9.999990 +40.00000 8
9.999990 +45.00000 9
9.999990 +50.00000 11
9.999990 +55.00000 0
9.999990 +60.00000 24
9.999990 +65.00000 24
9.999990 +70.00000 13
9.999990 +75.00000 15
9.999990 +80.00000 16
9.999990 +85.00000 65
15.00000 -85.00000 59
15.00000 -80.00000 36
15.00000 -75.00000 8
15.00000 -70.00000 10
15.00000 -65.00000 0
15.00000 -60.00000 12
15.00000 -55.00000 7
15.00000 -50.00000 6
15.00000 -45.00000 6
15.00000 -40.00000 4
15.00000 -35.00000 2
15.00000 -30.00000 1
15.00000 -25.00000 3
15.00000 -20.00000 3
15.00000 -15.00000 3
15.00000 -10.00000 5
15.00000 -05.00000 2
15.00000 +00.00000 2
15.00000 +05.00000 3
15.00000 +10.00000 2
15.00000 +15.00000 3
15.00000 +20.00000 6
15.00000 +25.00000 7
15.00000 +30.00000 5
15.00000 +35.00000 4
15.00000 +40.00000 6
15.00000 +45.00000 10
15.00000 +50.00000 6
15.00000 +55.00000 14
15.00000 +60.00000 22
15.00000 +65.00000 0
15.00000 +70.00000 16
15.00000 +75.00000 15
15.00000 +80.00000 19
15.00000 +85.00000 72
19.99999 -85.00000 59
19.99999 -80.00000 36
19.99999 -75.00000 8
19.99999 -70.00000 5
19.99999 -65.00000 9
19.99999 -60.00000 10
19.99999 -55.00000 6
19.99999 -50.00000 6
19.99999 -45.00000 5
19.99999 -40.00000 4
19.99999 -35.00000 3
19.99999 -30.00000 3
19.99999 -25.00000 1
19.99999 -20.00000 1
19.99999 -15.00000 2
19.99999 -10.00000 5
19.99999 -05.00000 4
19.99999 +00.00000 2
19.99999 +05.00000 2
19.99999 +10.00000 2
19.99999 +15.00000 4
19.99999 +20.00000 7
19.99999 +25.00000 3
19.99999 +30.00000 4
19.99999 +35.00000 4
19.99999 +40.00000 8
19.99999 +45.00000 10
19.99999 +50.00000 5
19.99999 +55.00000 9
19.99999 +60.00000 20
19.99999 +65.00000 23
19.99999 +70.00000 18
19.99999 +75.00000 22
19.99999 +80.00000 26
19.99999 +85.00000 92
24.99999 -85.00000 59
24.99999 -80.00000 29
24.99999 -75.00000 8
24.99999 -70.00000 11
24.99999 -65.00000 10
24.99999 -60.00000 6
24.99999 -55.00000 7
24.99999 -50.00000 7
24.99999 -45.00000 7
24.99999 -40.00000 5
24.99999 -35.00000 2
24.99999 -30.00000 3
24.99999 -25.00000 3
24.99999 -20.00000 5
24.99999 -15.00000 4
24.99999 -10.00000 4
24.99999 -05.00000 2
24.99999 +00.00000 1
24.99999 +05.00000 2
24.99999 +10.00000 2
24.99999 +15.00000 4
24.99999 +20.00000 6
24.99999 +25.00000 2
24.99999 +30.00000 3
24.99999 +35.00000 4
24.99999 +40.00000 8
24.99999 +45.00000 8
24.99999 +50.00000 6
24.99999 +55.00000 11
24.99999 +60.00000 14
24.99999 +65.00000 19
24.99999 +70.00000 16
24.99999 +75.00000 26
24.99999 +80.00000 26
24.99999 +85.00000 92
30.00000 -85.00000 59
30.00000 -80.00000 23
30.00000 -75.00000 8
30.00000 -70.00000 13
30.00000 -65.00000 9
30.00000 -60.00000 6
30.00000 -55.00000 9
30.00000 -50.00000 9
30.00000 -45.00000 5
30.00000 -40.00000 4
30.00000 -35.00000 2
30.00000 -30.00000 2
30.00000 -25.00000 3
30.00000 -20.00000 3
30.00000 -15.00000 1
30.00000 -10.00000 2
30.00000 -05.00000 4
30.00000 +00.00000 5
30.00000 +05.00000 4
30.00000 +10.00000 2
30.00000 +15.00000 3
30.00000 +20.00000 7
30.00000 +25.00000 8
30.00000 +30.00000 7
30.00000 +35.00000 7
30.00000 +40.00000 9
30.00000 +45.00000 8
30.00000 +50.00000 11
30.00000 +55.00000 10
30.00000 +60.00000 14
30.00000 +65.00000 14
30.00000 +70.00000 21
30.00000 +75.00000 22
30.00000 +80.00000 29
30.00000 +85.00000 85
34.99999 -85.00000 72
34.99999 -80.00000 19
34.99999 -75.00000 13
34.99999 -70.00000 15
34.99999 -65.00000 14
34.99999 -60.00000 6
34.99999 -55.00000 6
34.99999 -50.00000 7
34.99999 -45.00000 6
34.99999 -40.00000 4
34.99999 -35.00000 2
34.99999 -30.00000 4
34.99999 -25.00000 1
34.99999 -20.00000 4
34.99999 -15.00000 3
34.99999 -10.00000 2
34.99999 -05.00000 5
34.99999 +00.00000 6
34.99999 +05.00000 5
34.99999 +10.00000 3
34.99999 +15.00000 2
34.99999 +20.00000 3
34.99999 +25.00000 6
34.99999 +30.00000 7
34.99999 +35.00000 9
34.99999 +40.00000 7
34.99999 +45.00000 5
34.99999 +50.00000 8
34.99999 +55.00000 9
34.99999 +60.00000 8
34.99999 +65.00000 14
34.99999 +70.00000 18
34.99999 +75.00000 17
34.99999 +80.00000 33
34.99999 +85.00000 85
39.99999 -85.00000 59
39.99999 -80.00000 26
39.99999 -75.00000 17
39.99999 -70.00000 16
39.99999 -65.00000 14
39.99999 -60.00000 6
39.99999 -55.00000 6
39.99999 -50.00000 6
39.99999 -45.00000 2
39.99999 -40.00000 7
39.99999 -35.00000 7
39.99999 -30.00000 5
39.99999 -25.00000 4
39.99999 -20.00000 2
39.99999 -15.00000 4
39.99999 -10.00000 5
39.99999 -05.00000 4
39.99999 +00.00000 5
39.99999 +05.00000 4
39.99999 +10.00000 5
39.99999 +15.00000 4
39.99999 +20.00000 5
39.99999 +25.00000 4
39.99999 +30.00000 7
39.99999 +35.00000 9
39.99999 +40.00000 8
39.99999 +45.00000 6
39.99999 +50.00000 10
39.99999 +55.00000 7
39.99999 +60.00000 6
39.99999 +65.00000 13
39.99999 +70.00000 13
39.99999 +75.00000 19
39.99999 +80.00000 33
39.99999 +85.00000 78
45.00000 -85.00000 39
45.00000 -80.00000 26
45.00000 -75.00000 17
45.00000 -70.00000 16
45.00000 -65.00000 16
45.00000 -60.00000 10
45.00000 -55.00000 5
45.00000 -50.00000 3
45.00000 -45.00000 6
45.00000 -40.00000 8
45.00000 -35.00000 4
45.00000 -30.00000 4
45.00000 -25.00000 6
45.00000 -20.00000 4
45.00000 -15.00000 1
45.00000 -10.00000 4
45.00000 -05.00000 6
45.00000 +00.00000 5
45.00000 +05.00000 4
45.00000 +10.00000 3
45.00000 +15.00000 5
45.00000 +20.00000 5
45.00000 +25.00000 6
45.00000 +30.00000 7
45.00000 +35.00000 7
45.00000 +40.00000 8
45.00000 +45.00000 8
45.00000 +50.00000 15
45.00000 +55.00000 10
45.00000 +60.00000 8
45.00000 +65.00000 10
45.00000 +70.00000 15
45.00000 +75.00000 15
45.00000 +80.00000 42
45.00000 +85.00000 92
49.99999 -85.00000 39
49.99999 -80.00000 29
49.99999 -75.00000 17
49.99999 -70.00000 11
49.99999 -65.00000 16
49.99999 -60.00000 9
49.99999 -55.00000 2
49.99999 -50.00000 4
