SAO_number  RA2000  Dec2000  Mag  Type1  Type2  Arcsec
151881  6.752472  -16.7162  -1.60  A  0  362895.30
234480  6.399223  -52.6953  -0.90  F  0  337050.06
067174  18.61564  +38.7834  0.10  A  0  298129.24
252838  14.66002  -60.8351  0.10  +  +  403031.80
100944  14.26106  +19.1822  0.20  K  0  509790.76
040186  5.278158  +45.9988  0.20  G  0  297005.42
131907  5.242295  -8.20168  0.30  B  8  283507.95
115756  7.655039  +5.22496  0.50  F  5  412975.48
113271  5.919537  +7.40707  0.60  M  0  319691.02
232481  1.628596  -57.2363  0.60  B  5  217729.37
125122  19.84634  +8.86833  0.90  A  5  225587.20
252582  14.06379  -60.3729  0.90  B  1  414300.04
094027  4.598677  +16.5091  1.10  K  5  251586.52
184415  16.49018  -26.4321  1.10  +  +  396614.06
157923  13.41989  -11.1613  1.20  B  2  561871.46
079666  7.755268  +28.0267  1.20  K  0  406975.31
049941  20.69054  +45.2801  1.30  A  2  226415.74
098967  10.13951  +11.9671  1.30  B  8  539373.33
191524  22.96083  -29.6220  1.30  A  3  119305.78
240259  12.79535  -59.6887  1.50  B  1  430525.32
060198  7.576665  +31.8888  1.60  A  0  395689.71
172676  6.977102  -28.9720  1.60  B  1  370039.97
251904  12.44330  -63.0996  1.60  B  1  420139.97
240019  12.51941  -57.1135  1.60  M  3  441163.50
235932  8.375240  -59.5093  1.70  +  +  385890.81
028553  12.90044  +55.9591  1.70  A  0  442714.23
112740  5.418841  +6.34960  1.70  B  2  292811.76
208954  17.56016  -37.1034  1.70  B  2  342927.83
077168  5.43820  +28.6075  1.80  B  8  297388.48
250495  9.220054  -69.7176  1.80  A  0  378001.90
132346  5.603552  -1.20193  1.80  B  0  302596.76
044752  13.79236  +49.3131  1.90  B  3  451991.56
253700  16.81119  -69.0275  1.90  K  2  346654.37
095912  6.628533  +16.3991  1.90  A  0  356548.36
219504  8.158887  -47.3360  1.90  O  A  400614.87
038787  3.405383  +49.8614  1.90  F  5  237996.50
129825  2.322429  -2.97768  2.00  M  5  125810.37
210091  18.40282  -34.3842  2.00  A  0  306056.55
132444  5.679303  -1.94262  2.00  B  0  306692.68
084129  15.99173  +25.9205  2.00  P  E  420598.48
015384  11.06215  +61.7500  2.00  K  0  422387.03
151428  6.378323  -17.9568  2.00  B  1  343431.22
236232  8.745077  -54.7088  2.00  A  0  404483.67
228201  17.62197  -42.9972  2.00  F  0  338918.16
